ticker
AAPL
TSLA
MSFT
AMZN
GOOG
META
NVDA
AMD
BABA
SPY
NFLX
PYPL
INTEL
WMT
GE
DIS
V
MA
PFE
VZ
KO
CSCO
ORCL
JPM
BA
HD
CVX
ABT
MCD
UNH
IBM
CAT
GM
NKE
T
WFC
XOM
PG
SBUX
LLY
DELL
MMM
UPS
LMT
BAC
MU
AT&T
TMO
ACN
ZTS
MS
RTX
AMAT
CSX
REGN
F
PEP
AMGN
EXC
RTX
DE
SYY
BKNG
LRCX
GS
TSN
CMCSA
ADBE
SWKS
QCOM
GD
ECL
MSFT
MDT
ISRG
OXY
NVAX
LULU
ALB
ZM
FIS
PGR
EQIX
KMB
AIG
AON
CLX
GE
STZ
HCA
OXY
AXP
TGT
NOC
SNPS
CHKP
MAR
SGEN
CHTR
MU
LUV
IBB
CB
CTAS
DHR
AAL
TFC
FDX
COP
NVR
DOW
XLNX
EXPE
KHC
CTXS
FAST
VRTX
ICE
PNC
ORLY
HPE
MRO
KMI
ADI
